53,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(N(CC)CC)=O)=O)=NO2)=C1,,,20,,,,,,,0,,,
54,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NCCC)=O)=O)=NO2)=C1,,,79,,,,,,,0,,,
55,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(N(C(C)C)C(C)C)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
56,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NCC#C)=O)=O)=NO2)=C1,,,50,,,,,,,0,,,
57,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NCC=C)=O)=O)=NO2)=C1,,,100,,,,,,,1,5.89,,
58,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NCCCC)=O)=O)=NO2)=C1,,,85,,,,,,,0,,,
59,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4CCCCC4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
60,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C(C)C=C4)=O)=O)=NO2)=C1,,,94,,,,,,,0,,,
61,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C(CC)C=C4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
62,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C(OC)C=C4)=O)=O)=NO2)=C1,,,38,,,,,,,0,,,
63,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC(OCO5)=C5C=C4)=O)=O)=NO2)=C1,,,75,,,,,,,0,,,
64,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C(F)C=C4)=O)=O)=NO2)=C1,,,30,,,,,,,0,,,
65,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C(Cl)C=C4)=O)=O)=NO2)=C1,,,27,,,,,,,0,,,
66,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C(Br)C=C4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
67,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C(I)C=C4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
68,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C(C(C)=O)C=C4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
69,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C(C(F)(F)F)C=C4)=O)=O)=NO2)=C1,,,100,,,,,,,1,3.53,,
70,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C(OC(F)(F)F)C=C4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
71,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C(C#N)C=C4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
72,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=C([N+]([O-])=O)C=C4)=O)=O)=NO2)=C1,,,34,,,,,,,0,,,
73,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=C(C)C=CC=C4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
74,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=CC(C)=C4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
75,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=C(C)C=C(C)C=C4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
76,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=CC=CC=C4)=O)=O)=NO2)=C1,,,29,,,,,,,0,,,
77,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=C(C)C=C(C)C=C4C)=O)=O)=NO2)=C1,,,50,,,,,,,0,,,
78,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=C(F)C=C(C)C=C4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
79,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=C(Cl)C=C(C)C=C4)=O)=O)=NO2)=C1,,,100,,,,,,,1,7.63,,
80,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4=C(C(F)(F)F)C=CC=C4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
